candidate_count,checkpoint,checkpoint_sha256,clip_score,cmmd,guidance,hpsv2,nfe,percentiles,selection_score,selection_split
,,,0.21711023151874542,0.9300708770751953,1.0,0.1729116439819336,15,"{'cmmd': 0.1428571428571429, 'hpsv2': 0.0, 'clip_score': 0.0}",0.04761904761904764,
,,,0.21756961941719055,0.949859619140625,1.0,0.17632198333740234,30,"{'cmmd': 0.0714285714285714, 'hpsv2': 0.0714285714285714, 'clip_score': 0.1428571428571429}",0.09523809523809523,
,,,0.21745947003364563,0.9775161743164062,1.0,0.1775493621826172,50,"{'cmmd': 0.0, 'hpsv2': 0.1428571428571429, 'clip_score': 0.0714285714285714}",0.07142857142857144,
,,,0.2367803454399109,0.6608963012695312,2.0,0.1880035400390625,15,"{'cmmd': 0.3571428571428571, 'hpsv2': 0.2142857142857143, 'clip_score': 0.2857142857142857}",0.2857142857142857,
,,,0.23708194494247437,0.6746053695678711,2.0,0.18942785263061523,30,"{'cmmd': 0.2857142857142857, 'hpsv2': 0.2857142857142857, 'clip_score': 0.3571428571428571}",0.3095238095238095,
,,,0.23670653998851776,0.6911754608154297,2.0,0.1902170181274414,50,"{'cmmd': 0.2142857142857143, 'hpsv2': 0.3571428571428571, 'clip_score': 0.2142857142857143}",0.2619047619047619,
,,,0.24329042434692383,0.5800724029541016,3.0,0.19412517547607422,15,"{'cmmd': 0.7857142857142857, 'hpsv2': 0.4285714285714286, 'clip_score': 0.4285714285714286}",0.5476190476190476,
,,,0.24337846040725708,0.5884170532226562,3.0,0.19527053833007812,30,"{'cmmd': 0.6428571428571428, 'hpsv2': 0.5, 'clip_score': 0.5714285714285714}",0.5714285714285714,
,,,0.24329398572444916,0.6017684936523438,3.0,0.1959242820739746,50,"{'cmmd': 0.5, 'hpsv2': 0.5714285714285714, 'clip_score': 0.5}",0.5238095238095238,
,,,0.24408723413944244,0.5584955215454102,4.0,0.19618701934814453,15,"{'cmmd': 1.0, 'hpsv2': 0.6428571428571428, 'clip_score': 0.6428571428571428}",0.7619047619047619,
,,,0.244829922914505,0.5686283111572266,4.0,0.19704246520996094,30,"{'cmmd': 0.8571428571428572, 'hpsv2': 0.7857142857142857, 'clip_score': 0.7142857142857143}",0.7857142857142857,
,,,0.2456851303577423,0.5857944488525391,4.0,0.19736433029174805,50,"{'cmmd': 0.7142857142857143, 'hpsv2': 0.8571428571428572, 'clip_score': 0.7857142857142857}",0.7857142857142857,
15,runs/final/hemera-nano/checkpoint-best.pt,7746f789384ba6349b2798d8959583e9e66aa06cb2e5231c9602d401ada8111d,0.24659523367881775,0.5640983581542969,5.0,0.19648313522338867,15,"{'cmmd': 0.9285714285714286, 'hpsv2': 0.7142857142857143, 'clip_score': 0.8571428571428572}",0.8333333333333334,validation
,,,0.24740764498710632,0.5942583084106445,5.0,0.19780492782592773,30,"{'cmmd': 0.5714285714285714, 'hpsv2': 1.0, 'clip_score': 0.9285714285714286}",0.8333333333333334,
,,,0.24945051968097687,0.6134510040283203,5.0,0.19777774810791016,50,"{'cmmd': 0.4285714285714286, 'hpsv2': 0.9285714285714286, 'clip_score': 1.0}",0.7857142857142857,
