images_per_second,loss,lr,spent_eur,step
4975.0167221273405,1.527378046574692,1.0818040222169544e-05,0.021934913749647945,955.0052083333334
5022.678821779816,1.2277058210844796,3.0632751828535864e-05,0.062066718665383734,2875.0
5023.1581107872835,1.1713385991752148,5.040639192089751e-05,0.10211776511785133,4795.0
5025.626026659406,1.1387809614340465,7.024008294982201e-05,0.14229035733425735,6715.0
5037.548822134207,1.1254891709734995,9.003792280848636e-05,0.18239034008124252,8635.0
5028.804186403603,1.1079110279679298,0.00011049869995444248,0.2238331669570253,10555.0
5044.154287144176,1.0959949476333957,0.00013048238018830428,0.26430954864174144,12475.0
5014.865272561784,1.085098806458215,0.00015023893781677207,0.30432610281984307,14395.0
5018.375235382596,1.0746500121119122,0.0001701304858794426,0.344615904556607,16315.0
5009.36413431923,1.0684869270771742,0.00019001437665975502,0.3848902675742623,18235.0
5024.870135931869,1.0600303052924573,0.00019999931108813897,0.42507067019521605,20155.0
5021.840108449523,1.052790379927804,0.00019999577399253717,0.4652365735874802,22075.0
5030.6460663793505,1.0555411951305966,0.00019998853035798855,0.5053275680175751,23995.0
5050.949840347875,1.0477508703867595,0.00019997767905717597,0.5453672308099148,25915.0
5036.28934947291,1.043890521551172,0.0001999632354314085,0.5853472148550146,27835.0
5020.831942123583,1.0411917737995584,0.00019994508854923339,0.6255339553240415,29755.0
5034.795476634955,1.035142487846315,0.00019992336290556334,0.6656242384979056,31675.0
4976.373173243606,1.0380219959964354,0.00019989784939754613,0.7059529067000686,33595.0
5007.944993038569,1.0306178036456306,0.0001998685918661411,0.7463942098122662,35515.0
5031.8868579969085,1.0336716103677948,0.0001998358855351235,0.786563933707797,37435.0
5011.498139297931,1.0327371375945706,0.00019979957516858067,0.8267043670786051,39355.0
5018.607798739873,1.0268200864084065,0.00019975957620201208,0.8669080210280907,41275.0
5017.915573749159,1.021792564385881,0.00019971597980471964,0.907076871876805,43195.0
4976.241180795842,1.0279289204627275,0.00019966847963470645,0.9474711847142494,45115.0
4983.33620694204,1.0257907242824633,0.00019961716532038677,0.9879829605888757,47035.0
4990.653077212504,1.0223558065481484,0.00019956227453321422,1.0284182207484809,48955.0
4972.170590970273,1.0236544720828533,0.0001994376533451931,1.1115831455687284,50875.0
4983.048039269959,1.0279006169488032,0.00019936811681147822,1.1541767375655938,52795.0
4972.714824959113,1.0239819834629695,0.0001992980265353551,1.194688924836001,54715.0
4969.56262399247,1.0251528963757057,0.00019922400366361814,1.2353420049813193,56635.0
4969.373977715152,1.0201066713780165,0.00019914665145372604,1.2758089535663386,58555.0
4968.904242003727,1.022718495844553,0.0001990651960654958,1.316492567677434,60475.0
4979.529771252423,1.0165254756187398,0.00019898049705272656,1.3569677245245695,62395.0
5042.4007051564995,1.0216437593723338,0.00019889246259334906,1.3973023118568053,64315.0
4961.9956949096495,1.018078001216054,0.00019880099271672678,1.4375529640959275,66235.0
4970.39019417598,1.0188361575516562,0.0001987051256899413,1.4781343103222413,68155.0
4961.999911329006,1.0199217197174828,0.00019860555600884812,1.5187327253635294,70075.0
4961.397797819888,1.015123003628105,0.0001985022604274242,1.5593581081693435,71995.0
